,goldstein_DirectFX_IndiaChina,goldstein_DirectFX_IndiaPak,goldstein_OilSupply,goldstein_RiskOff_RusUkr,goldstein_Combined
2015-06-16,2.0235632183908048,2.9929314157591365,1.0762211391760876,1.555678895678268,2.9929314157591365
2015-06-17,1.832789093030584,2.710768808771927,0.974758953732842,1.409015189811749,2.710768808771927
2015-06-18,1.6600004531625825,2.4552074584532155,0.8828622513489616,1.335054443273621,2.4552074584532155
2015-06-19,1.5035016931181595,2.2237394957983194,0.7996292333320635,1.2091904023535942,2.2237394957983194
2015-06-20,1.3617570627179674,2.014093484502826,0.724243119266055,1.095192362012445,2.014093484502826
2015-06-21,1.2333755966821722,1.82421213095396,1.7795250320924263,3.4065061475409832,3.4065061475409832
2015-06-22,1.117097464840659,1.6522320956422898,1.6117579327160985,3.085353230288344,3.085353230288344
2015-06-23,1.0117816091954024,1.4964657078795682,1.459807300726044,2.79447743328524,2.79447743328524
2015-06-24,0.916394546515292,1.3553844043859635,1.3221820175327952,2.531024340577904,2.531024340577904
2015-06-25,0.8300002265812912,1.491304347826087,1.197531541743648,2.292408640089357,2.292408640089357
2015-06-26,0.75175084655908,1.350709638445739,1.5721440731117284,2.076288753491972,2.076288753491972
2015-06-27,0.6808785313589836,1.2233696830896514,1.423928090649538,1.8805438578826883,1.8805438578826883
2015-06-28,0.616687798341086,1.1080348721173334,1.628711547035221,1.7032530737704916,1.7032530737704916
2015-06-29,0.5585487324203295,2.97948717948718,1.4751625904096766,1.542676615144172,2.97948717948718
2015-06-30,0.5058908045977012,2.6985920458324606,1.3360896667708888,1.3972387166426197,2.6985920458324606
2015-07-01,0.458197273257646,2.4441786761048085,1.2101280287728713,1.265512170288952,2.4441786761048085
2015-07-02,0.4150001132906456,2.2137504666373515,1.096041592448623,1.1462043200446788,2.2137504666373515
2015-07-03,0.37587542327954,2.005046184408715,1.70828488372093,1.038144376745986,2.005046184408715
2015-07-04,0.5428571428571428,1.8160177771610264,1.5472340444903625,0.940271928941344,1.8160177771610264
2015-07-05,0.5811320754716981,1.6448102754986798,1.5729618656217148,0.8516265368852458,1.6448102754986798
2015-07-06,0.5263450728175156,1.4897435897435898,1.4246687846782904,0.771338307572086,1.4897435897435898
2015-07-07,0.476723188019533,1.3492960229162303,1.2903562320212278,0.69861935832131,1.3492960229162303
2015-07-08,0.4317794726926227,1.222089338052404,1.1687061746720342,0.6327560851444761,1.222089338052404
2015-07-09,0.3910728861610997,2.503933747412008,1.058524838971808,0.5731021600223393,2.503933747412008
2015-07-10,0.3542039674480928,2.267872048780059,1.093166731745412,0.519072188372993,2.267872048780059
2015-07-11,0.3208109152939002,2.054065382102769,0.9901069779278536,1.5753753753753754,2.054065382102769
2015-07-12,0.5000000000000002,1.860415624515761,0.8967633200620785,1.4268547575761126,1.860415624515761
2015-07-13,0.4528618321319536,1.6850224564902394,0.8122197602240923,1.2923361194042249,1.6850224564902394
2015-07-14,0.4101676780038191,1.5261647136593088,0.7356466574177165,1.170499405527392,1.5261647136593088
2015-07-15,0.3714985722842372,1.462022900763359,0.666292586159869,1.060149010592994,1.462022900763359
2015-07-16,0.3364750481580892,2.074198250728863,0.6034769626085914,0.9602020465400416,2.074198250728863
2015-07-17,0.3047534135511189,1.8786504400599315,0.546583365872706,1.6598214285714286,1.8786504400599315
2015-07-18,0.2760223784184532,2.813725490196078,0.4950534889639268,1.5033395463094663,2.813725490196078
2015-07-19,1.5488372093023255,2.5484577612131494,0.4483816600310392,1.361610202516249,2.5484577612131494
2015-07-20,1.4028185125575858,2.308198501707766,0.4061098801120461,1.233242581922137,2.308198501707766
2015-07-21,1.2705659234909,2.090590004815217,0.5618759917002318,1.121075614801195,2.090590004815217
2015-07-22,1.1507816239130322,1.8934968396347365,0.5089043820646504,1.0153847137546503,1.8934968396347365
2015-07-23,1.0422901491780805,1.7149848958661005,0.4609267416835543,0.91965796357942,1.7149848958661005
2015-07-24,0.944026853139745,1.553302404041099,0.4174722574348519,0.8329559806426347,1.553302404041099
2015-07-25,0.8550274605892548,1.406862745098039,0.3781145027324191,1.4947761194029852,1.4947761194029852
2015-07-26,0.7744186046511629,1.274228880606575,0.3424672529261315,2.312797992471769,2.312797992471769
2015-07-27,0.7014092562787929,1.4600896860986547,0.31018069521065,2.300056915196357,2.300056915196357
2015-07-28,0.6352829617454498,1.322437780647211,0.2848008325143089,2.0832159772471828,2.0832159772471828
2015-07-29,0.5753908119565161,1.1977631924488203,0.95279031966769,1.8868180083654336,1.8868180083654336
2015-07-30,0.5211450745890402,2.772249589490969,0.8629647396045992,2.339988855869242,2.772249589490969
2015-07-31,0.4720134265698725,2.5108920564478714,1.754985754985755,2.1193832808745965,2.5108920564478714
2015-08-01,0.4275137302946273,2.274174353937102,1.5895321287366568,1.9195755911334005,2.274174353937102
2015-08-02,0.3872093023255814,2.0597735290229147,1.5428596383963666,1.738605038232898,2.0597735290229147
2015-08-03,0.3507046281393964,1.8655856282604328,1.3974044851332432,1.5746957259359895,1.8655856282604328
2015-08-04,0.317641480872725,3.4135761589403977,1.265662310733699,1.426239182995457,3.4135761589403977
2015-08-05,0.2876954059782581,3.633980582524272,1.1463403057984491,1.2917785789394065,3.633980582524272
2015-08-06,0.2605725372945201,3.29138220906777,1.038267542261179,1.169994427934621,3.29138220906777
2015-08-07,0.2360067132849362,2.981082754889892,0.9403834828630752,1.0596916404372982,2.981082754889892
2015-08-08,0.2137568651473136,2.700037196232815,0.8821653878942881,1.9675202156334235,2.700037196232815
2015-08-09,0.1936046511627907,2.44548758302083,0.8488883795553517,1.782029619216816,2.44548758302083
2015-08-10,0.1753523140696982,2.2149359746055106,0.7688582936819232,1.6140263965438688,2.2149359746055106
2015-08-11,0.1588207404363625,2.006119927029651,0.6963731510532863,1.9922231107556976,2.006119927029651
2015-08-12,0.143847702989129,1.816990291262136,0.6307216420669854,2.01862821512081,2.01862821512081
2015-08-13,0.13028626864726,1.645691104533885,0.5712595167834582,1.82831934378573,1.82831934378573
2015-08-14,0.1180033566424681,1.490541377444946,0.5174032627867424,1.6559520954981926,1.6559520954981926
2015-08-15,0.1068784325736568,1.3500185981164077,0.6788636363636364,2.052828546562228,2.052828546562228
2015-08-16,0.0968023255813953,1.222743791510415,2.0517336052714152,1.8592953932978908,2.0517336052714152
2015-08-17,0.087676157034849,1.1074679873027555,1.8583036790598224,1.6840078365667672,1.8583036790598224
2015-08-18,0.0232186607677648,1.0030599635148252,1.683109617513161,1.5252457483843864,1.683109617513161
2015-08-19,0.0210296905098805,0.908495145631068,1.5244322101318426,1.381451168129651,1.5244322101318426
2015-08-20,0.0190470883469449,0.8228455522669424,2.023793852432041,1.2512130140000417,2.023793852432041
2015-08-21,3.8,0.745270688722473,3.3579240880896832,1.1332532358148046,3.8
2015-08-22,6.58125,0.6750092990582038,3.041351309384625,1.026414273281114,6.58125
2015-08-23,5.960793865436836,0.6113718957552073,2.754623852249673,0.9296476966489454,5.960793865436836
2015-08-24,5.398832061725267,0.5537339936513777,2.494928009128332,0.8462257005806614,5.398832061725267
2015-08-25,4.889849957691271,0.5015299817574126,2.259715338502367,1.6728138693084391,4.889849957691271
2015-08-26,4.428852821380847,0.454247572815534,2.0466776565817177,2.0273023839397744,4.428852821380847
2015-08-27,4.011316805866602,1.1447916666666669,1.85372438668626,1.8361757437528856,4.011316805866602
2015-08-28,3.633144555932889,1.0368649031521182,1.6789620440448416,1.6630678228643678,3.633144555932889
2015-08-29,3.290625,0.9391130794295772,1.5206756546923126,1.506279882444113,3.290625
2015-08-30,2.980396932718418,1.6512455516014235,1.3787467700258398,1.3642733345342886,2.980396932718418
2015-08-31,2.699416030862633,1.54,1.2487635766398295,1.2356546436119344,2.699416030862633
2015-09-01,2.4449249788456355,1.3948144429664164,1.1310347224335282,1.6317768724537762,2.4449249788456355
2015-09-02,2.2144264106904235,1.3203309692671394,1.0244049132122055,1.4779389281799318,2.2144264106904235
2015-09-03,2.0056584029333013,1.1958550035257491,0.9278277716845084,1.3386042615893985,2.0056584029333013
2015-09-04,1.816572277966444,1.0831141757216685,0.8403555691759083,1.212405556806031,1.816572277966444
2015-09-05,1.6453125,0.9810021400508104,0.7611299253985846,1.0981044034842806,1.6453125
2015-09-06,1.490198466359209,0.8885168529375542,0.6893733850129199,0.994579144068114,1.490198466359209
2015-09-07,1.3497080154313168,2.4111716621253407,0.6243817883199148,0.9008138667658324,2.4111716621253407
2015-09-08,1.2224624894228178,2.183855232989458,0.565517361216764,0.8158884362268881,2.183855232989458
2015-09-09,1.1072132053452115,1.97796936384512,0.5122024566061029,1.113315546931846,1.97796936384512
2015-09-10,1.0028292014666504,1.79149366002355,0.4639138858422542,1.0083562366490868,1.79149366002355
2015-09-11,0.908286138983222,1.6225982022620873,0.4201777845879542,0.913292105541174,1.6225982022620873
2015-09-12,0.82265625,1.4696255893808452,0.3805649626992922,0.8271902723740506,1.4696255893808452
2015-09-13,0.7450992331796045,1.3310746739100228,0.3446866925064599,0.7492058045380842,1.3310746739100228
2015-09-14,0.6748540077156584,1.2055858310626704,0.3121908941599574,0.6785734265740218,1.2055858310626704
2015-09-15,0.6112312447114089,1.091927616494729,0.3500367917586461,1.3811074918566777,1.3811074918566777
2015-09-16,0.5536066026726058,0.9889846819225596,0.317036605658823,1.2509017382667635,1.2509017382667635
2015-09-17,0.5014146007333252,0.895746830011775,0.2871475561831004,1.1329713060170634,1.1329713060170634
2015-09-18,0.454143069491611,4.509136212624584,0.2600763367705836,1.0261589227916386,4.509136212624584
2015-09-19,0.411328125,4.084031373163413,1.4101485395274649,0.9294164196679462,4.084031373163413
2015-09-20,0.3725496165898021,3.699003860270321,1.277204902377212,0.8417944452486931,3.699003860270321
2015-09-21,0.3101879350207382,3.3502753304503705,1.1567947041969135,0.762433149507649,3.3502753304503705
2015-09-22,1.951351351351352,3.034423648588481,1.0477363382863103,0.6905537459283387,3.034423648588481
2015-09-23,1.767385096212272,2.7483493059286115,0.9489595954951252,0.6254508691333818,2.7483493059286115
2015-09-24,1.6007625055067962,2.489245004042827,0.8594951620702396,0.5664856530085317,2.489245004042827
2015-09-25,1.4498484821038875,2.254568106312292,0.7784651076073578,0.5130794613958193,2.254568106312292
2015-09-26,5.70595238095238,2.0420156865817063,0.7050742697637324,0.4647082098339731,5.70595238095238
2015-09-27,5.168016098591552,2.276543209876543,0.638602451188606,0.4208972226243466,5.168016098591552
2015-09-28,4.6807944777912,2.0619190579044986,0.5783973520984568,1.0864375290292614,4.6807944777912
2015-09-29,4.239506326091305,3.152475247524752,0.6363715069020249,1.2925098889881332,4.239506326091305
2015-09-30,3.83982120433743,2.855271432689385,0.9664247636966358,1.1706567927516671,3.83982120433743
2015-10-01,3.4778169313107434,2.586086904483484,0.8753137782106971,1.0602915599264728,3.4778169313107434
2015-10-02,3.149941094665823,2.3422801072336847,0.8092779426310585,0.9603311568446986,3.149941094665823
2015-10-03,2.85297619047619,2.3367741935483872,1.0928292849811836,0.8697946542841769,2.85297619047619
2015-10-04,2.584008049295776,2.3266666666666667,1.3439688979039894,0.7877936014354225,2.584008049295776
2015-10-05,2.3403972388956,5.697701149425288,1.2172644348663255,0.7135233073757506,5.697701149425288
2015-10-06,2.1197531630456523,5.160542762938144,1.345460774237753,0.6462549444940666,5.160542762938144
2015-10-07,1.919910602168715,4.674025700838921,1.2186156625659703,0.5853283963758337,4.674025700838921
2015-10-08,1.7389084656553722,4.233375684627502,1.3705306780246345,0.5301457799632364,4.233375684627502
2015-10-09,1.574970547332911,3.8342685372865457,1.7051602580129006,0.4801655784223493,3.8342685372865457
2015-10-10,1.426488095238095,3.4727877493629795,1.8766463633106407,0.4772982062780269,3.4727877493629795
2015-10-11,1.292004024647888,3.145386045563844,1.6997230207052487,0.4323002803367245,3.145386045563844
