,USDINR,NIFTY,INDIAVIX,GOLD,CRUDE,DXY
2018-05-22,68.4000015258789,10536.7001953125,13.600000381469727,1291.699951171875,72.12999725341797,93.61000061035156
2018-05-23,68.43000030517578,10430.349609375,14.15999984741211,1289.300048828125,71.83999633789062,94.01000213623047
2018-05-24,68.6500015258789,10513.849609375,13.149999618530273,1303.699951171875,70.70999908447266,93.77999877929688
2018-05-25,68.26010131835938,10605.150390625,12.649999618530273,1303.300048828125,67.87999725341797,94.19000244140625
2018-05-28,67.7217025756836,10688.650390625,13.0600004196167,,,
2018-05-29,67.40280151367188,10633.2998046875,13.069999694824219,1298.699951171875,66.7300033569336,94.83000183105469
2018-05-30,68.12999725341797,10614.349609375,13.40999984741211,1301.5,68.20999908447266,94.1500015258789
2018-05-31,67.43000030517578,10736.150390625,13.220000267028809,1300.0999755859375,67.04000091552734,93.98999786376953
2018-06-01,67.43499755859375,10696.2001953125,13.569999694824219,1294.800048828125,65.80999755859375,94.19000244140625
2018-06-04,66.92500305175781,10628.5,13.880000114440918,1293.0999755859375,64.75,94.0199966430664
2018-06-05,67.05999755859375,10593.150390625,13.319999694824219,1297.5,65.5199966430664,93.88999938964844
2018-06-06,67.08999633789062,10684.650390625,12.550000190734863,1297.0999755859375,64.7300033569336,93.66000366210938
2018-06-07,66.8301010131836,10768.349609375,12.779999732971191,1298.699951171875,65.94999694824219,93.4000015258789
2018-06-08,67.41000366210938,10767.650390625,12.699999809265137,1298.0999755859375,65.73999786376953,93.55000305175781
2018-06-11,67.51000213623047,10786.9501953125,13.180000305175781,1298.9000244140625,66.0999984741211,93.58000183105469
2018-06-12,67.48999786376953,10842.849609375,12.729999542236328,1295.0999755859375,66.36000061035156,93.80000305175781
2018-06-13,67.91000366210938,10856.7001953125,12.640000343322754,1296.9000244140625,66.63999938964844,93.70999908447266
2018-06-14,67.77999877929688,10808.0498046875,12.100000381469727,1304.0,66.88999938964844,94.7699966430664
2018-06-15,68.12999725341797,10817.7001953125,12.069999694824219,1274.5999755859375,65.05999755859375,94.79000091552734
2018-06-18,68.05000305175781,10799.849609375,12.380000114440918,1276.199951171875,65.8499984741211,94.75
2018-06-19,68.01000213623047,10710.4501953125,12.920000076293945,1275.5999755859375,65.06999969482422,95.08999633789062
